Designator,Mid X,Mid Y,Layer,Rotation
C1,115.57,67.31,Top,0.0
C2,125.73,67.31,Top,0.0
C3,120.65,67.31,Top,0.0
C4,130.81,67.31,Top,0.0
C5,33.02,30.48,Top,180.0
C6,45.72,26.67,Top,0.0
C7,45.72,21.59,Top,0.0
C8,128.27, 2.54,Top,180.0
C9,128.27,11.43,Top,180.0
C10,116.84,11.43,Top,180.0
C11,95.25, 6.99,Top,90.0
C12,110.49, 7.62,Top,90.0
C13,100.33,22.86,Top,90.0
C14,43.18, 3.81,Top,90.0
C15,39.37,67.31,Top,180.0
C16,45.72,19.05,Top,0.0
C18,40.64,44.45,Top,180.0
C19,33.02,50.80,Top,180.0
C20,33.02,48.26,Top,180.0
D1,34.29,38.73,Top,270.0
D2,33.66,45.72,Top,0.0
F1,38.10,11.43,Top,180.0
F2,40.01,35.56,Top,270.0
IC2,63.50,25.40,Top,180.0
IC3,39.37,50.16,Top,0.0
LED2,125.73, 6.35,Top,0.0
LED3,125.73,15.24,Top,0.0
Q1,50.80,20.96,Top,180.0
R1,96.52,22.86,Top,0.0
R2,125.73,21.59,Top,90.0
R3,121.92,21.59,Top,90.0
R4,62.87,20.32,Top,90.0
R5,66.04,20.32,Top,90.0
R6,62.87,10.16,Top,90.0
R7,66.04,10.16,Top,90.0
R8,48.90,26.67,Top,270.0
R9,50.80,26.67,Top,270.0
R10,33.02,27.94,Top,0.0
R11,33.02,33.02,Top,180.0
R12,45.72,24.13,Top,0.0
R13,116.84,17.14,Top,180.0
R14,33.02,53.34,Top,0.0
R15,33.02,55.88,Top,180.0
R16,33.02,58.42,Top,0.0
R17,33.02,60.96,Top,0.0
R18,33.02,63.50,Top,180.0
R19,33.02,66.04,Top,0.0
R20,32.38,20.96,Top,270.0
R21,32.38,24.77,Top,270.0
R22,116.84,13.97,Top,180.0
R23,96.52, 3.81,Top,0.0
R24,109.22, 3.81,Top,180.0
R25,105.41,22.86,Top,270.0
R26,34.29,16.51,Top,180.0
R27,59.69,20.32,Top,90.0
R28,56.52,20.32,Top,90.0
R31,35.56,20.96,Top,90.0
R32,107.32,68.58,Top,180.0
S1,38.73, 4.45,Top,270.0
T1,116.84,22.23,Top,90.0
T2,63.50,15.24,Top,180.0
T3,63.50, 5.08,Top,180.0
T4,39.37,57.15,Top,270.0
T5,39.37,63.50,Top,270.0
